Kode Unit,Judul Unit,Elemen Kompetensi,Jabatan
J.620900.023.01,Melakukan Konfigurasi Tembok Api (Firewall),Menentukan aturan lalu lintas data,Network Security
J.620900.023.01,Melakukan Konfigurasi Tembok Api (Firewall),Memantau kinerja firewall,Network Security
J.620900.021.01,Melakukan Konfigurasi Sistem Deteksi Intrusi (Intrusion Detection System),Menyiapkan komponen sistem deteksi,Security Engineer
J.620900.021.01,Melakukan Konfigurasi Sistem Deteksi Intrusi (Intrusion Detection System),Mengelola aturan (signature) deteksi,Security Engineer
J.620900.022.01,Melakukan Pengujian Keamanan Jaringan (Network Security Testing),Melakukan persiapan pengujian,Cyber Security Specialist
J.620900.022.01,Melakukan Pengujian Keamanan Jaringan (Network Security Testing),Mengeksekusi pengujian dan pelaporan,Cyber Security Specialist
M.70MKT00.001.1,Melaksanakan Penjualan Produk,Mempersiapkan proses penjualan,Sales Operation
M.70MKT00.001.1,Melaksanakan Penjualan Produk,Melakukan aktivitas penjualan,Sales Operation
M.70MKT00.002.1,Menangani Keberatan Pelanggan,Mengidentifikasi keberatan pelanggan,Sales Operation
M.70MKT00.002.1,Menangani Keberatan Pelanggan,Memberikan solusi atas keberatan,Sales Operation
M.70MKT00.005.1,Melakukan Riset Pemasaran,Menentukan desain riset,Market Research
M.70MKT00.005.1,Melakukan Riset Pemasaran,Melaksanakan pengolahan data riset,Market Research
M.70MKT00.007.1,Mengelola Ekuitas Merek,Memantau performa merek,Brand Management
M.70MKT00.007.1,Mengelola Ekuitas Merek,Melakukan penguatan ekuitas merek,Brand Management
M.70MKT00.009.1,Melakukan Pemasaran Digital,Merencanakan konten digital,Digital Marketing
M.70MKT00.009.1,Melakukan Pemasaran Digital,Mengevaluasi kampanye digital,Digital Marketing
M.70MKT00.012.1,Memberikan Layanan Prima,Membangun hubungan dengan pelanggan,Customer Service
M.70MKT00.012.1,Memberikan Layanan Prima,Mengukur kepuasan pelanggan,Customer Service
M.70MKT00.015.1,Mengembangkan Produk Baru,Menemukan ide produk,Product Development
M.70MKT00.015.1,Mengembangkan Produk Baru,Melakukan uji coba pasar,Product Development
M.70MKT00.018.1,Mengelola Tenaga Penjual,Merancang struktur organisasi penjualan,Sales Management
M.70MKT00.018.1,Mengelola Tenaga Penjual,Melakukan pembinaan tenaga penjual,Sales Management
M.70MKT00.021.1,Menyusun Rencana Pemasaran,Menganalisis situasi pasar,Strategic Marketing
M.70MKT00.021.1,Menyusun Rencana Pemasaran,Menentukan strategi pemasaran,Strategic Marketing
M.70MKT00.025.1,Menetapkan Harga Jual,Menganalisis biaya dan harga pesaing,Pricing Management
M.70MKT00.025.1,Menetapkan Harga Jual,Menentukan metode penetapan harga,Pricing Management
M.70MKT00.026.1,Mengelola Saluran Distribusi,Menentukan jenis saluran distribusi,Trade Marketing
M.70MKT00.026.1,Mengelola Saluran Distribusi,Mengevaluasi kinerja anggota saluran,Trade Marketing
M.70MKT00.027.1,Mengelola Komunikasi Pemasaran Terpadu,Merumuskan bauran promosi,Marketing Comm.
M.70MKT00.027.1,Mengelola Komunikasi Pemasaran Terpadu,Mengukur efektivitas komunikasi,Marketing Comm.
M.70MKT00.028.1,Mengelola Manajemen Hubungan Pelanggan (CRM),Membangun database pelanggan,CRM Specialist
M.70MKT00.028.1,Mengelola Manajemen Hubungan Pelanggan (CRM),Menjalankan program retensi,CRM Specialist
M.70MKT00.029.1,Mengelola Aktivitas Promosi Penjualan,Merancang mekanisme promosi,Events & Promo
M.70MKT00.029.1,Mengelola Aktivitas Promosi Penjualan,Mengawasi pelaksanaan promosi,Events & Promo
M.70MKT00.030.1,Melakukan Analisis Penjualan,Mengolah data penjualan harian,Sales Analyst
M.70MKT00.030.1,Melakukan Analisis Penjualan,Memberikan rekomendasi peningkatan,Sales Analyst
M.70MKT00.031.1,Melakukan Analisis Peluang Bisnis Baru,Mencari potensi pasar baru,Business Dev.
M.70MKT00.032.1,Menyusun Strategi Kemitraan Bisnis,Menentukan mitra strategis,Business Dev.
K.64SPP01.001.1,Melaksanakan Penyelenggaraan Transfer Dana,Melakukan persiapan transaksi transfer dana,Penyelenggara Transfer Dana
K.64SPP01.001.1,Melaksanakan Penyelenggaraan Transfer Dana,Memproses perintah transfer dana,Penyelenggara Transfer Dana
K.64SPP02.003.1,Melakukan Penanganan Uang Rupiah,Mengidentifikasi keaslian uang Rupiah,Kasir/Teller
K.64SPP02.003.1,Melakukan Penanganan Uang Rupiah,Melakukan penghitungan uang Rupiah,Kasir/Teller
K.64SPP03.005.1,Melakukan Audit Operasional Sistem Pembayaran,Menyiapkan rencana audit,Audit Internal
K.64SPP03.005.1,Melakukan Audit Operasional Sistem Pembayaran,Melaksanakan prosedur audit,Audit Internal
K.64SPP04.002.1,Menerapkan Program APU dan PPT,Mengidentifikasi profil nasabah,Compliance Officer
K.64SPP04.002.1,Menerapkan Program APU dan PPT,Memantau transaksi keuangan mencurigakan,Compliance Officer
K.64SPP01.008.1,Melaksanakan Pertukaran Data Kliring,Menyiapkan data kliring,Operasional Kliring
K.64SPP01.008.1,Melaksanakan Pertukaran Data Kliring,Menyelesaikan proses kliring,Operasional Kliring
K.64SPP02.010.1,Melaksanakan Pengiriman Uang Tunai,Menyiapkan armada dan personel pengiriman,Pengelola Kas (Cash in Transit)
K.64SPP02.010.1,Melaksanakan Pengiriman Uang Tunai,Melakukan serah terima uang di lokasi tujuan,Pengelola Kas (Cash in Transit)
K.64SPP03.012.1,Melakukan Manajemen Risiko Operasional,Mengidentifikasi kejadian risiko operasional,Risk Management
K.64SPP03.012.1,Melakukan Manajemen Risiko Operasional,Melakukan pemantauan risiko,Risk Management
K.64SPP01.015.1,Mengelola Infrastruktur Sistem Pembayaran,Melakukan pemeliharaan sistem,IT Support Keuangan
K.64SPP01.015.1,Mengelola Infrastruktur Sistem Pembayaran,Menangani gangguan sistem (Troubleshooting),IT Support Keuangan
K.64SPP01.020.1,Melakukan Setelmen Transaksi,Melakukan rekonsiliasi data transaksi,Settlement Officer
K.64SPP01.020.1,Melakukan Setelmen Transaksi,Melaksanakan penyelesaian akhir,Settlement Officer
K.64SPP01.025.1,Mengelola Likuiditas Harian,Memantau posisi saldo kas,Treasury Operations
K.64SPP01.025.1,Mengelola Likuiditas Harian,Melakukan penempatan kelebihan dana,Treasury Operations
K.64SPP01.031.1,Melaksanakan Monitoring Sistem Pembayaran,Melakukan pemantauan transaksi berjalan,Operasional Sistem
K.64SPP01.031.1,Melaksanakan Monitoring Sistem Pembayaran,Melaporkan hasil pemantauan,Operasional Sistem
K.64SPP01.033.1,Melakukan Penanganan Pengaduan Konsumen,Menerima pengaduan konsumen,Layanan Pelanggan
K.64SPP01.033.1,Melakukan Penanganan Pengaduan Konsumen,Menyelesaikan pengaduan konsumen,Layanan Pelanggan
K.64SPP02.015.1,Melakukan Pemrosesan Uang Rupiah,Melakukan penyortiran uang Rupiah,Pengelolaan Uang
K.64SPP02.015.1,Melakukan Pemrosesan Uang Rupiah,Mengemas uang hasil sortiran,Pengelolaan Uang
K.64SPP03.018.1,Melakukan Audit Keamanan Informasi Sistem Pembayaran,Memeriksa akses log sistem,Audit Teknologi
K.64SPP03.018.1,Melakukan Audit Keamanan Informasi Sistem Pembayaran,Melakukan evaluasi kontrol enkripsi,Audit Teknologi
K.64SPP04.005.1,Melakukan Deteksi Fraud pada Transaksi Elektronik,Menganalisis pola transaksi mencurigakan,Anti Fraud Officer
K.64SPP04.005.1,Melakukan Deteksi Fraud pada Transaksi Elektronik,Menindaklanjuti indikasi fraud,Anti Fraud Officer
K.64SPP01.040.1,Mengelola Alat Pembayaran Menggunakan Kartu (APMK),Memproses penerbitan kartu baru,Operasional Kartu
K.64SPP01.040.1,Mengelola Alat Pembayaran Menggunakan Kartu (APMK),Menangani penggantian kartu,Operasional Kartu
K.64SPP03.022.1,Melakukan Manajemen Risiko Likuiditas,Menghitung rasio likuiditas,Risk Analyst
K.64SPP03.022.1,Melakukan Manajemen Risiko Likuiditas,Menyiapkan rencana pendanaan darurat,Risk Analyst
K.64SPP04.010.1,Menelaah Kepatuhan Regulasi Sistem Pembayaran,Melakukan pemantauan regulasi baru,Legal/Compliance
K.64SPP04.010.1,Menelaah Kepatuhan Regulasi Sistem Pembayaran,Memberikan opini kepatuhan,Legal/Compliance
K.64SPP02.022.1,Melakukan Pengisian Kas Mesin ATM/CRM,Menyiapkan kaset uang,Kasir ATM/CRM
K.64SPP02.022.1,Melakukan Pengisian Kas Mesin ATM/CRM,Melakukan rekonsiliasi sisa kas mesin,Kasir ATM/CRM
K.64SPP01.050.1,Mengembangkan Produk Layanan Pembayaran Digital,Melakukan analisis kebutuhan pasar,Business Analyst
K.64SPP01.050.1,Mengembangkan Produk Layanan Pembayaran Digital,Merancang model bisnis layanan,Business Analyst
K.64SPP03.023.1,Melakukan Manajemen Risiko Kredit,Mengidentifikasi eksposur risiko kredit,Risk Analyst
K.64SPP03.023.1,Melakukan Manajemen Risiko Kredit,Menetapkan limit risiko kredit,Risk Analyst
K.64SPP03.025.1,Mengelola Rencana Kelangsungan Bisnis,Menyusun strategi pemulihan,Business Continuity
K.64SPP03.025.1,Mengelola Rencana Kelangsungan Bisnis,Menguji coba rencana kelangsungan bisnis,Business Continuity
K.64SPP01.062.1,Mengelola Transaksi Pembayaran Berbasis QR Code,Melakukan on-boarding merchant,Penyelenggara QRIS
K.64SPP01.062.1,Mengelola Transaksi Pembayaran Berbasis QR Code,Melakukan rekonsiliasi transaksi QR,Penyelenggara QRIS
K.64SPP01.018.1,Mengelola Keamanan Infrastruktur SP,Menerapkan kontrol akses fisik dan logik,IT Security
K.64SPP01.018.1,Mengelola Keamanan Infrastruktur SP,Melakukan pemantauan serangan siber,IT Security
K.64SPP01.070.1,Menerapkan Prinsip Syariah pada Sistem Pembayaran,Memastikan kepatuhan syariah pada produk,Layanan Syariah
K.64SPP01.070.1,Menerapkan Prinsip Syariah pada Sistem Pembayaran,Melakukan review aspek syariah berkala,Layanan Syariah
K.64SPP01.035.1,Memberikan Layanan Edukasi Konsumen,Menyusun materi literasi keuangan,Customer Support
K.64SPP01.035.1,Memberikan Layanan Edukasi Konsumen,Melaksanakan kegiatan sosialisasi,Customer Support
K.64SPP01.080.1,Mengelola Data Transaksi Sistem Pembayaran,Melakukan pengolahan data statistik transaksi,Data Analyst
K.64SPP01.080.1,Mengelola Data Transaksi Sistem Pembayaran,Menyusun laporan manajerial,Data Analyst
K.64SPP02.025.1,Mengelola Penyimpanan Uang Tunai di Khazanah,Melakukan penataan uang di dalam khazanah,Vault Officer
K.64SPP02.025.1,Mengelola Penyimpanan Uang Tunai di Khazanah,Menjaga keamanan ruang khazanah,Vault Officer
K.64SPP02.030.1,Mengelola Distribusi Uang Rupiah,Merencanakan jadwal distribusi,Logistik Uang
K.64SPP02.030.1,Mengelola Distribusi Uang Rupiah,Melaksanakan proses loading/unloading,Logistik Uang
K.64SPP04.015.1,Menyusun Perjanjian Kerja Sama (PKS),Merancang klausul perjanjian,Legal Officer
K.64SPP04.015.1,Menyusun Perjanjian Kerja Sama (PKS),Melakukan negosiasi kontrak,Legal Officer
K.64SPP01.085.1,Mengelola Operasional Uang Elektronik,Memantau saldo mengendap (Floating Fund),E-Wallet Admin
K.64SPP01.085.1,Mengelola Operasional Uang Elektronik,Menangani pengembalian dana (Refund),E-Wallet Admin
K.64SPP01.090.1,Melakukan Layanan Kiriman Uang Luar Negeri,Melakukan pengecekan sanksi internasional,Remittance Clerk
K.64SPP01.090.1,Melakukan Layanan Kiriman Uang Luar Negeri,Menginformasikan biaya koresponden,Remittance Clerk
K.64SPP03.030.1,Melakukan Audit Kepatuhan Anti Pencucian Uang,Mengevaluasi sistem scoring risiko nasabah,Internal Auditor
K.64SPP03.030.1,Melakukan Audit Kepatuhan Anti Pencucian Uang,Meninjau laporan ke PPATK,Internal Auditor
K.64SPP01.095.1,Mengelola Jaringan Komunikasi Data Keuangan,Konfigurasi jalur komunikasi tertutup (VPN),Network Admin
K.64SPP01.095.1,Mengelola Jaringan Komunikasi Data Keuangan,Mengelola redundancy link,Network Admin
K.64SPP01.100.1,Melakukan Pembayaran Pajak Transaksi,Menghitung pajak atas biaya administrasi,Finance Officer
K.64SPP01.100.1,Melakukan Pembayaran Pajak Transaksi,Melaporkan setoran pajak,Finance Officer
K.64SPP01.042.1,Melaksanakan Kliring Berjadwal,Melakukan validasi pesan kliring,Penyelenggara Kliring
K.64SPP01.042.1,Melaksanakan Kliring Berjadwal,Menghasilkan laporan posisi kliring,Penyelenggara Kliring
K.64SPP01.045.1,Mengelola Penagihan Transaksi Gagal,Mengidentifikasi penyebab gagal setelmen,Officer Penagihan
K.64SPP01.045.1,Mengelola Penagihan Transaksi Gagal,Melakukan rekonsiliasi piutang,Officer Penagihan
K.64SPP02.040.1,Melakukan Pengawalan Uang Tunai,Melakukan pemeriksaan keamanan rute,Security Guard
K.64SPP02.040.1,Melakukan Pengawalan Uang Tunai,Melaksanakan prosedur tanggap darurat,Security Guard
K.64SPP02.045.1,Melakukan Kontrol Kualitas Uang Rupiah,Memeriksa spesifikasi uang baru,Quality Control
K.64SPP02.045.1,Melakukan Kontrol Kualitas Uang Rupiah,Mengelola uang hasil sortir mesin,Quality Control
K.64SPP01.055.1,Mengelola Layanan Merchant,Melakukan edukasi penggunaan mesin EDC,Merchant Relation
K.64SPP01.055.1,Mengelola Layanan Merchant,Memproses klaim chargeback merchant,Merchant Relation
K.64SPP01.060.1,Mengelola Konektivitas Antar Bank,Melakukan konfigurasi router jaringan,IT Network
K.64SPP01.060.1,Mengelola Konektivitas Antar Bank,Menangani masalah latensi tinggi,IT Network
K.64SPP03.040.1,Melakukan Analisis Strategi Bisnis SP,Melakukan benchmarking kompetitor,Business Strategist
K.64SPP03.040.1,Melakukan Analisis Strategi Bisnis SP,Menyusun proyeksi pertumbuhan bisnis,Business Strategist
K.64SPP01.065.1,Mengelola Penempatan Dana di Bank Sentral,Memonitor saldo Giro di Bank Indonesia,Treasury Officer
K.64SPP01.065.1,Mengelola Penempatan Dana di Bank Sentral,Melakukan transaksi pasar uang antar bank,Treasury Officer
K.64SPP02.050.1,Mengelola Inventori Perlengkapan Kas,Mengelola stok segel dan kantong uang,Logistik
K.64SPP02.050.1,Mengelola Inventori Perlengkapan Kas,Mendistribusikan perlengkapan ke cabang,Logistik
K.64SPP03.045.1,Melakukan Audit Risiko Reputasi,Mengidentifikasi pemberitaan negatif,Risk Auditor
K.64SPP03.045.1,Melakukan Audit Risiko Reputasi,Menyusun strategi mitigasi krisis,Risk Auditor
K.64SPP01.075.1,Mengelola Keamanan Kode Aplikasi SP,Melakukan pengujian penetrasi (Pen-Test),App Developer
K.64SPP01.075.1,Mengelola Keamanan Kode Aplikasi SP,Menerapkan enkripsi pada level aplikasi,App Developer
K.64SPP04.020.1,Mengelola Etika Bisnis Sistem Pembayaran,Menyusun panduan kode etik karyawan,Operational Manager
K.64SPP04.020.1,Mengelola Etika Bisnis Sistem Pembayaran,Melakukan pengawasan integritas,Operational Manager
K.64SPP01.082.1,Mengelola Antarmuka Layanan Pembayaran,Menganalisis kemudahan navigasi aplikasi,Customer Experience
K.64SPP01.082.1,Mengelola Antarmuka Layanan Pembayaran,Melakukan pembaruan desain layanan,Customer Experience
K.64SPP02.055.1,Melakukan Pemeliharaan Mesin Pengolah Uang,Melaksanakan perawatan rutin mesin,Asset Manager
K.64SPP02.055.1,Melakukan Pemeliharaan Mesin Pengolah Uang,Mengelola suku cadang mesin,Asset Manager
K.64SPP01.092.1,Melaporkan Data Transaksi ke Regulator,Memvalidasi data laporan berkala,Reporting Officer
K.64SPP01.092.1,Melaporkan Data Transaksi ke Regulator,Mengirimkan laporan via aplikasi regulator,Reporting Officer
M.71IEN00.001.1,Melaksanakan Praktik Keinsinyuran dengan Etika dan Profesionalisme,Mematuhi kode etik insinyur dan Mengelola tanggung jawab profesional.,Insinyur Elektro
M.71IEN00.002.1,Melakukan Komunikasi Teknis yang Efektif,Menyusun laporan teknis dan Melakukan presentasi teknis.,Insinyur Elektro
M.71IEN00.003.1,Menerapkan Prinsip K3LL di Tempat Kerja,Mengidentifikasi potensi bahaya dan Melaksanakan prosedur keselamatan kerja.,Insinyur Elektro
M.71IEN00.004.1,Melakukan Perencanaan Sistem Tenaga Listrik,Menganalisis kebutuhan beban dan Merancang konfigurasi jaringan.,Insinyur Elektro
M.71IEN00.005.1,Melakukan Desain Instalasi Listrik Industri,Menentukan spesifikasi peralatan dan Membuat gambar rancangan.,Insinyur Elektro
M.71IEN00.006.1,Menerapkan Sistem Kontrol dan Automasi,Merancang logika kontrol dan Mengintegrasikan komponen automasi.,Insinyur Elektro
M.71IEN00.007.1,Melakukan Analisis Aliran Daya dan Hubung Singkat,Melakukan pemodelan sistem dan Mengevaluasi hasil simulasi.,Insinyur Elektro
M.71IEN00.008.1,Merancang Sistem Proteksi Tenaga Listrik,Menentukan koordinasi proteksi dan Memilih gawai proteksi.,Insinyur Elektro
M.71IEN00.009.1,Melakukan Studi Kelayakan Proyek Elektro,Melakukan analisis teknis dan Melakukan analisis ekonomi.,Insinyur Elektro
M.71IEN00.010.1,Mengelola Manajemen Proyek Teknik Elektro,Menyusun jadwal pelaksanaan dan Melakukan pengawasan sumber daya.,Insinyur Elektro
M.71IEN00.011.1,Melakukan Pengadaan Barang dan Jasa Teknik,Menyusun dokumen tender dan Melakukan evaluasi penawaran.,Insinyur Elektro
M.71IEN00.012.1,Melaksanakan Supervisi Konstruksi Elektro,Memeriksa kesesuaian lapangan dan Menyetujui metode kerja.,Insinyur Elektro
M.71IEN00.013.1,Melakukan Testing dan Commissioning Sistem,Melakukan uji individu alat dan Melakukan uji fungsi sistem terintegrasi.,Insinyur Elektro
M.71IEN00.014.1,Mengelola Operasi Sistem Tenaga Listrik,Mengatur pembebanan dan Menjaga kualitas daya.,Insinyur Elektro
M.71IEN00.015.1,Melakukan Pemeliharaan Peralatan Listrik,Menyusun program pemeliharaan dan Menganalisis hasil pemeliharaan.,Insinyur Elektro
M.71IEN00.016.1,Melakukan Audit Energi,Mengukur penggunaan energi dan Memberikan rekomendasi efisiensi.,Insinyur Elektro
M.71IEN00.017.1,Menerapkan Standar dan Regulasi Ketenagalistrikan,Menelaah regulasi terbaru dan Memastikan kepatuhan desain.,Insinyur Elektro
M.71IEN00.018.1,Merancang Sistem Energi Terbarukan,Menganalisis potensi sumber energi dan Merancang sistem konversi energi.,Insinyur Elektro
M.71IEN00.019.1,Menggunakan Perangkat Lunak Teknik Elektro,Mengoperasikan software desain dan Mengelola data teknis digital.,Insinyur Elektro
M.71IEN00.020.1,Mengelola Rantai Pasok Keinsinyuran,Mengevaluasi rantai pasokan dan Mengelola hubungan vendor.,Insinyur Elektro
M.71IEN01.001.1,Melaksanakan Praktik Keinsinyuran dengan Etika dan Profesionalisme,Mematuhi kode etik insinyur profesional,Insinyur Teknik Industri
M.71IEN01.002.1,Melakukan Komunikasi Teknis yang Efektif,Menyusun laporan teknis keinsinyuran,Insinyur Teknik Industri
M.71IEN01.003.1,Menerapkan Prinsip K3LL di Tempat Kerja,Mengelola risiko keselamatan dan kesehatan kerja,Insinyur Teknik Industri
M.71IEN01.004.1,Melakukan Analisis dan Perancangan Sistem Kerja,Melakukan pengukuran kerja,Industrial Engineer
M.71IEN01.004.1,Melakukan Analisis dan Perancangan Sistem Kerja,Merancang tata letak fasilitas (Plant Layout),Industrial Engineer
M.71IEN01.005.1,Melakukan Perencanaan dan Pengendalian Produksi,Menyusun rencana produksi induk (Master Production Schedule),Industrial Engineer
M.71IEN01.006.1,Mengelola Manajemen Kualitas,Menerapkan pengendalian kualitas statistik,Industrial Engineer
M.71IEN01.006.1,Mengelola Manajemen Kualitas,Melakukan perbaikan berkelanjutan (Continuous Improvement),Industrial Engineer
M.71IEN01.007.1,Melakukan Analisis Ekonomi Teknik,Melakukan evaluasi kelayakan finansial,Industrial Engineer
M.71IEN01.008.1,Mengelola Rantai Pasok (Supply Chain),Mengoptimalkan manajemen inventori,Industrial Engineer
M.71IEN01.009.1,Merancang Sistem Informasi Industri,Mengidentifikasi kebutuhan sistem informasi,Industrial Engineer
M.71IEN01.010.1,Melakukan Pemodelan dan Simulasi Sistem,Membangun model simulasi sistem,Industrial Engineer
M.71IEN01.011.1,Mengelola Proyek Teknik Industri,Melakukan perencanaan jadwal proyek,Industrial Engineer
M.71IEN01.012.1,Menerapkan Manajemen Inovasi dan Teknologi,Melakukan penilaian teknologi,Insinyur Profesional
M.71IEN01.013.1,Melakukan Strategi Organisasi dan Bisnis,Menyusun analisis SWOT organisasi,Insinyur Profesional
M.71IEN01.014.1,Melakukan Perancangan Produk,Mengembangkan konsep produk baru,Industrial Engineer
M.71IEN01.015.1,Melakukan Pengelolaan Logistik,Mengelola sistem pergudangan,Industrial Engineer
M.71IEN01.016.1,Mengelola Fasilitas Industri,Merencanakan pemeliharaan fasilitas,Industrial Engineer
M.71IEN01.017.1,Melaksanakan Ergonomi di Lingkungan Kerja,Menilai beban kerja fisik dan mental,Industrial Engineer
M.71IEN01.018.1,Mengelola Sumber Daya Manusia Teknik,Melakukan penilaian kinerja tim teknis,Insinyur Teknik Industri
B.06SML00.001.1,Mengidentifikasi Aspek dan Dampak Lingkungan,Menentukan aspek lingkungan dan Mengevaluasi dampak lingkungan.,Env. Specialist
B.06SML00.002.1,Menentukan Kewajiban Penaatan Lingkungan,Mengidentifikasi peraturan dan Mengevaluasi kepatuhan.,Env. Specialist
B.06SML00.003.1,Menyusun Kebijakan Lingkungan,Merumuskan draf kebijakan dan Mengomunikasikan kebijakan.,Env. Specialist
B.06SML00.004.1,Menetapkan Sasaran dan Program Lingkungan,Menetapkan sasaran dan Menyusun rencana program.,Env. Planner
B.06SML00.005.1,Melaksanakan Pengendalian Operasional Lingkungan,"Menerapkan prosedur, Mengelola limbah/emisi dan Tanggap darurat.",Env. Officer
B.06SML00.006.1,Melaksanakan Audit Internal SML,"Merencanakan audit, Mengumpulkan bukti dan Melaporkan hasil.",Env. Auditor
B.06SML00.007.1,Melakukan Tinjauan Manajemen SML,"Menyiapkan input, Mengevaluasi sistem dan Menetapkan output.",Manager
K.64LKM00.001.1,Melaksanakan Budaya Kerja dan Etika Bisnis,Menerapkan budaya kerja organisasi,Operasional LKM
K.64LKM00.001.1,Melaksanakan Budaya Kerja dan Etika Bisnis,Melaksanakan etika bisnis,Operasional LKM
K.64LKM00.003.1,Melakukan Analisis Kelayakan Pinjaman atau Pembiayaan,Melakukan verifikasi data calon debitur,Analisis Pembiayaan
K.64LKM00.003.1,Melakukan Analisis Kelayakan Pinjaman atau Pembiayaan,"Menilai aspek 5C (Character, Capacity, Capital, Collateral, Condition)",Analisis Pembiayaan
K.64LKM00.005.1,Melakukan Transaksi Kas,Melakukan penerimaan kas,Kasir/Teller LKM
K.64LKM00.005.1,Melakukan Transaksi Kas,Melakukan pengeluaran kas,Kasir/Teller LKM
K.64LKM00.007.1,Melakukan Pemasaran Produk LKM,Mengidentifikasi potensi pasar,Pemasaran/AO
K.64LKM00.007.1,Melakukan Pemasaran Produk LKM,Melakukan sosialisasi dan edukasi produk,Pemasaran/AO
K.64LKM00.009.1,Melakukan Penagihan Pinjaman atau Pembiayaan,Melakukan pemantauan tunggakan,Kolektor
K.64LKM00.009.1,Melakukan Penagihan Pinjaman atau Pembiayaan,Melaksanakan kunjungan penagihan,Kolektor
K.64LKM00.012.1,Menyusun Rencana Kerja dan Anggaran,Menyusun target operasional tahunan,Manajer LKM
K.64LKM00.012.1,Menyusun Rencana Kerja dan Anggaran,Menetapkan indikator kinerja utama (KPI),Manajer LKM
K.64LKM00.015.1,Menerapkan Manajemen Risiko LKM,Mengidentifikasi risiko operasional,Kepatuhan
K.64LKM00.015.1,Menerapkan Manajemen Risiko LKM,Menentukan langkah mitigasi risiko,Kepatuhan
K.64LKM00.017.1,Menerapkan Program APU dan PPT,Melakukan Customer Due Diligence (CDD),Compliance Officer
K.64LKM00.017.1,Menerapkan Program APU dan PPT,Melaporkan transaksi mencurigakan,Compliance Officer
K.64LKM00.020.1,Menyusun Laporan Keuangan LKM,Melakukan pencatatan jurnal transaksi,Akuntansi
K.64LKM00.020.1,Menyusun Laporan Keuangan LKM,Menyusun neraca dan laporan laba rugi,Akuntansi
K.64LKM00.022.1,Melakukan Supervisi Operasional,Melakukan otorisasi transaksi,Penyelia LKM
K.64LKM00.022.1,Melakukan Supervisi Operasional,Mengevaluasi kinerja staf,Penyelia LKM
K.64LKM00.021.1,Melakukan Audit Kepatuhan,Menentukan ruang lingkup audit dan Melaksanakan prosedur audit.,Audit Internal
K.64LKM00.021.1,Melakukan Audit Kepatuhan,Menyusun laporan hasil audit.,Audit Internal
K.64LKM00.022.1,Menyusun Kebijakan dan Prosedur Intern,Mengidentifikasi kebutuhan kebijakan dan Membuat draf kebijakan/SOP.,Manajemen LKM
K.64LKM00.023.1,Mengelola Teknologi Informasi LKM,Memantau keamanan data dan Mengelola infrastruktur TI.,Sistem Informasi
K.64LKM00.024.1,Menerapkan Prinsip Tata Kelola yang Baik (GCG),Melaksanakan prinsip transparansi dan Menerapkan akuntabilitas.,Tata Kelola
K.64LKM00.025.1,Melakukan Identifikasi Peraturan Terkini,Memantau regulasi baru dan Menganalisis dampak regulasi.,Kepatuhan
K.64LKM00.026.1,Mengelola Pengembangan Kompetensi Pegawai,Menganalisis kebutuhan pelatihan dan Mengevaluasi hasil pengembangan.,SDM LKM
M.70KMP00.001.1,Melaksanakan Analisis Situasi Pasar,Mengidentifikasi kebutuhan pasar,Konsultan Pemasaran
M.70KMP00.001.1,Melaksanakan Analisis Situasi Pasar,Melakukan analisis kompetitor,Konsultan Pemasaran
M.70KMP00.002.1,Merumuskan Strategi Pemasaran,"Menetapkan segmentasi, targeting, dan positioning (STP)",Pakar Strategi
M.70KMP00.002.1,Merumuskan Strategi Pemasaran,Mengembangkan bauran pemasaran (Marketing Mix),Pakar Strategi
M.70KMP00.003.1,Mengelola Strategi Merek,Membangun ekuitas merek,Brand Analyst
M.70KMP00.003.1,Mengelola Strategi Merek,Melakukan audit merek secara berkala,Brand Analyst
M.70KMP00.004.1,Merencanakan Pengembangan Produk Baru,Melakukan penyaringan ide produk,Product Manager
M.70KMP00.004.1,Merencanakan Pengembangan Produk Baru,Melakukan uji pasar (Test Marketing),Product Manager
M.70KMP00.005.1,Mengelola Komunikasi Pemasaran Terpadu,Menyusun rencana media promosi,Marketing Communication
M.70KMP00.005.1,Mengelola Komunikasi Pemasaran Terpadu,Mengevaluasi efektivitas kampanye,Marketing Communication
M.70KMP00.008.1,Melaksanakan Pemasaran Digital,Mengelola aset platform digital,Digital Strategist
M.70KMP00.008.1,Melaksanakan Pemasaran Digital,Menganalisis metrik pemasaran digital,Digital Strategist
M.70KMP00.010.1,Mengelola Hubungan Pelanggan (CRM),Membangun database pelanggan,Customer Relation
M.70KMP00.010.1,Mengelola Hubungan Pelanggan (CRM),Melaksanakan program loyalitas,Customer Relation
M.70KMP00.012.1,Mengelola Manajemen Penjualan,Menetapkan target penjualan tim,Sales Manager
M.70KMP00.012.1,Mengelola Manajemen Penjualan,Melakukan pembinaan (Coaching) tim sales,Sales Manager
M.70KMP00.015.1,Mengelola Saluran Distribusi,Memilih mitra distribusi,Distribution Planner
M.70KMP00.015.1,Mengelola Saluran Distribusi,Memantau kinerja rantai distribusi,Distribution Planner
M.70KMP00.020.1,Melakukan Riset Pemasaran Primer,Merancang instrumen penelitian,Market Researcher
M.70KMP00.020.1,Melakukan Riset Pemasaran Primer,Mengolah dan menyajikan data riset,Market Researcher
